Subject,Time,MPRAGE,Rest,FieldMap,tSNR,Relative Motion Mean,Relative Motion Median,Relative Motion SD,Relative Motion Variance,Relative Motion Max,Absolute Motion Mean,Absolute Motion Median,Absolute Motion SD,Absolute Motion Variance,Absolute Motion Max,FD Mean,FD Median,FD SD,FD Variance,FD Min,FD Max
401,1,1,1,1,49.92219,0.130532905,0.117261,0.065134257,0.004242471,0.4193,0.55800879,0.6003665,0.268755794,0.072229683,1.17558,0.278074771,0.248181,0.141973376,0.020156438,0.040063,0.967288
401,2,1,1,1,45.94333,0.186021343,0.1798435,0.085024677,0.007229196,0.548657,0.736257076,0.6405725,0.484706283,0.234940171,1.92385,0.380576879,0.361477,0.169825524,0.028840709,0.1098784,1.0320165
404,1,1,1,1,63.93194,0.154095456,0.1414375,0.085185304,0.007256536,0.573084,0.284572721,0.2896945,0.116622858,0.013600891,0.579371,0.261690944,0.2456944,0.140986145,0.019877093,0.0350373,1.0840997
404,2,1,1,1,71.940664,0.161141902,0.16815,0.075722322,0.00573387,0.338355,0.263079464,0.2554385,0.120858856,0.014606862,0.503951,0.263074726,0.2697429,0.115382858,0.013313203,0.06144,0.5887409
408,1,1,1,1,59.734342,0.193975687,0.1884455,0.087948762,0.007734984,0.490677,0.221061662,0.219824,0.083832398,0.007027871,0.491924,0.325065047,0.322535,0.137400076,0.01887878,0.0584399,0.8185403
408,2,1,1,1,71.310044,0.164043367,0.158894,0.087866999,0.00772061,0.554722,0.139784396,0.1222765,0.075925201,0.005764636,0.449425,0.276560962,0.25177331,0.14881669,0.022146406,0.02336826,1.13006416
410,1,1,1,1,38.449032,0.272805095,0.233839,0.179871321,0.032353692,1.6772,1.230187297,1.247605,0.605794251,0.366986692,2.57536,0.535302937,0.4510222,0.362713039,0.131560743,0.065962,2.940895
410,2,1,1,1,41.20316,0.234959841,0.2223995,0.120301805,0.014472525,0.673789,1.117023945,1.04218,0.511865318,0.262006104,2.09127,0.437356621,0.394134,0.237088144,0.056210786,0.041925,1.54285
415,1,1,1,1,45.110112,0.245687351,0.2158035,0.173012123,0.029933196,1.354,0.912752867,0.7773365,0.376190782,0.141519502,1.95077,0.446927875,0.3965404,0.329555124,0.108606584,0.0615113,2.5032989
416,1,1,1,1,62.14765,0.149937615,0.16205,0.065026335,0.004228424,0.282574,0.293856621,0.2589465,0.185749099,0.03450273,0.776024,0.241669208,0.2485745,0.093574233,0.008756137,0.0427116,0.635457
